Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,152.4250030517578,153.0,150.6999969482422,151.8249969482422,138.92662048339844,8168120
2022-11-01,151.8249969482422,152.89999389648438,151.10000610351562,152.1750030517578,139.24688720703125,6729148
2022-11-02,152.25,152.9499969482422,151.75,152.60000610351562,139.6357879638672,4907332
2022-11-03,152.60000610351562,153.85000610351562,151.75,152.5500030517578,139.59002685546875,4588148
2022-11-04,152.77499389648438,152.77499389648438,149.39999389648438,150.6750030517578,137.87432861328125,7678230
2022-11-07,151.25,155.0749969482422,151.0,154.875,141.71749877929688,7732442
2022-11-09,155.5500030517578,155.9250030517578,152.97500610351562,153.4250030517578,140.39068603515625,5580594
2022-11-10,153.0,153.97500610351562,152.10000610351562,152.75,139.7730255126953,2795742
2022-11-11,153.52499389648438,155.27499389648438,152.72500610351562,154.4499969482422,141.32859802246094,4580064
2022-11-14,154.75,155.0,153.52499389648438,153.8249969482422,140.75669860839844,2600014
2022-11-15,153.89999389648438,154.8000030517578,152.85000610351562,154.4499969482422,141.32859802246094,4035358
2022-11-16,154.4499969482422,154.85000610351562,152.89999389648438,153.22500610351562,140.2076873779297,2926810
2022-11-17,153.5,153.89999389648438,152.27499389648438,152.60000610351562,139.6357879638672,3816246
2022-11-18,153.375,153.375,151.1999969482422,152.0500030517578,139.13250732421875,4065720
2022-11-21,152.8249969482422,155.47500610351562,152.14999389648438,155.14999389648438,141.96913146972656,7671706
2022-11-22,155.125,155.6750030517578,152.875,153.4250030517578,140.39068603515625,7471030
2022-11-23,153.0500030517578,155.375,153.0500030517578,155.0749969482422,141.90049743652344,5713460
2022-11-24,155.72500610351562,161.0,155.27499389648438,160.5,146.8646240234375,16914922
2022-11-25,160.5,163.125,158.1999969482422,162.22500610351562,148.44308471679688,8593556
2022-11-28,163.5,170.9499969482422,163.5,170.375,155.9006805419922,26418498
2022-11-29,170.75,171.1750030517578,168.10000610351562,169.52499389648438,155.12289428710938,10055668
2022-11-30,169.52499389648438,171.875,167.89999389648438,170.5749969482422,156.08370971679688,10029732
2022-12-01,171.0,171.875,168.52499389648438,169.3000030517578,154.91702270507812,4289334
2022-12-02,169.75,171.6750030517578,169.14999389648438,170.5500030517578,156.06082153320312,5595618
2022-12-05,170.4499969482422,170.89999389648438,168.75,169.1999969482422,154.82550048828125,4976546
2022-12-06,169.9499969482422,170.5500030517578,164.0500030517578,164.27499389648438,150.31890869140625,10051146
2022-12-07,165.375,168.5,165.25,167.1750030517578,152.97254943847656,14328596
2022-12-08,168.375,168.64999389648438,166.27499389648438,167.875,153.61309814453125,5220452
